dataset,model,perturbation,param_value,auroc_baseline,auroc_ood,delta_auroc,p_value,p_value_fdr,significant
abundance_WT2D,TabPFN,remove_features,k=106 / highest_abundance,0.7183,0.7407,-0.0224,0.6352,0.8272839059674503,False
abundance_WT2D,TabPFN,remove_features,k=127 / highest_abundance,0.7183,0.7271,-0.0088,0.8501,0.923185520361991,False
abundance_WT2D,TabPFN,remove_features,k=148 / highest_abundance,0.7183,0.7459,-0.0276,0.5717,0.8035087719298245,False
abundance_WT2D,TabPFN,remove_features,k=169 / highest_abundance,0.7183,0.7688,-0.0505,0.3161,0.5736423173803527,False
abundance_WT2D,TabPFN,remove_features,k=190 / highest_abundance,0.7183,0.7604,-0.0421,0.427,0.6858440979955457,False
abundance_WT2D,TabPFN,remove_features,k=22 / highest_abundance,0.7183,0.7249,-0.0066,0.87,0.933532041728763,False
abundance_WT2D,TabPFN,remove_features,k=43 / highest_abundance,0.7183,0.7297,-0.0114,0.8011,0.9114312796208531,False
abundance_WT2D,TabPFN,remove_features,k=64 / highest_abundance,0.7183,0.717,0.0013,0.9751,0.9883544303797469,False
abundance_WT2D,TabPFN,remove_features,k=85 / highest_abundance,0.7183,0.7556,-0.0373,0.4376,0.6951013215859031,False
abundance_WT2D,TabPFN,sparsity,0.787,0.7183,0.7552,-0.0369,0.2778,0.5405837837837838,False
abundance_WT2D,TabPFN,sparsity,0.827,0.7183,0.7604,-0.0421,0.2647,0.5314475138121546,False
abundance_WT2D,TabPFN,sparsity,0.868,0.7183,0.7258,-0.0075,0.8648,0.9307264573991032,False
abundance_WT2D,TabPFN,sparsity,0.909,0.7183,0.7065,0.0118,0.7966,0.9113142857142857,False
abundance_WT2D,TabPFN,sparsity,0.949,0.7183,0.7424,-0.0241,0.6097,0.8174748603351956,False
abundance_WT2D,XGBoost,densification,0.133,0.6863,0.5371,0.1492,0.0107,0.072,False
abundance_WT2D,XGBoost,densification,0.255,0.6863,0.5366,0.1496,0.0133,0.08237288135593221,False
abundance_WT2D,XGBoost,densification,0.378,0.6863,0.595,0.0913,0.0881,0.26742857142857146,False
abundance_WT2D,XGBoost,densification,0.501,0.6863,0.6003,0.086,0.0715,0.2383333333333333,False
abundance_WT2D,XGBoost,densification,0.623,0.6863,0.6341,0.0522,0.1682,0.39215533980582523,False
abundance_WT2D,XGBoost,remove_features,k=1 / highest_abundance,0.6863,0.6986,-0.0123,0.4438,0.6957917570498915,False
abundance_WT2D,XGBoost,remove_features,k=106 / highest_abundance,0.6863,0.7824,-0.0961,0.058,0.2119796954314721,False
abundance_WT2D,XGBoost,remove_features,k=127 / highest_abundance,0.6863,0.7595,-0.0733,0.1423,0.3569895470383275,False
abundance_WT2D,XGBoost,remove_features,k=148 / highest_abundance,0.6863,0.8017,-0.1154,0.0264,0.12588079470198674,False
abundance_WT2D,XGBoost,remove_features,k=169 / highest_abundance,0.6863,0.799,-0.1128,0.029,0.1332,False
abundance_WT2D,XGBoost,remove_features,k=190 / highest_abundance,0.6863,0.8017,-0.1154,0.0229,0.11420689655172413,False
abundance_WT2D,XGBoost,remove_features,k=22 / highest_abundance,0.6863,0.7468,-0.0606,0.0963,0.2841639344262295,False
abundance_WT2D,XGBoost,remove_features,k=43 / highest_abundance,0.6863,0.7495,-0.0632,0.1394,0.35340845070422533,False
abundance_WT2D,XGBoost,remove_features,k=64 / highest_abundance,0.6863,0.7652,-0.079,0.0664,0.22726066350710902,False
abundance_WT2D,XGBoost,remove_features,k=85 / highest_abundance,0.6863,0.7661,-0.0799,0.0833,0.2569230769230769,False
abundance_WT2D,XGBoost,sparsity,0.787,0.6863,0.7341,-0.0478,0.1979,0.437079754601227,False
abundance_WT2D,XGBoost,sparsity,0.827,0.6863,0.731,-0.0448,0.3263,0.58734,False
abundance_WT2D,XGBoost,sparsity,0.868,0.6863,0.6766,0.0097,0.8467,0.9227110438729197,False
abundance_WT2D,XGBoost,sparsity,0.909,0.6863,0.6678,0.0184,0.7306,0.87672,False
abundance_WT2D,XGBoost,sparsity,0.949,0.6863,0.6904,-0.0042,0.941,0.9731879483500717,False
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.138,0.9321,0.8652,0.067,0.0012,0.015999999999999997,True
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.266,0.9321,0.8997,0.0325,0.0375,0.15606936416184972,False
abundance_cirrhosis--stagediscovery,ContextTab,densification,0.393,0.9321,0.9172,0.0149,0.2009,0.442348623853211,False
