dataset,model,perturbation,param_value,auroc_baseline,auroc_ood,delta_auroc,p_value,significant
abundance_t2d,ContextTab,densification,0.693,0.7521,0.7028,0.0493,0.0074,True
abundance_t2d,ContextTab,remove_features,k=1 / highest_abundance,0.7521,0.7543,-0.0022,0.7803,False
abundance_t2d,ContextTab,remove_features,k=127 / highest_abundance,0.7521,0.7588,-0.0067,0.6045,False
abundance_t2d,ContextTab,remove_features,k=159 / highest_abundance,0.7521,0.7415,0.0106,0.4631,False
abundance_t2d,ContextTab,remove_features,k=191 / highest_abundance,0.7521,0.741,0.011,0.4404,False
abundance_t2d,ContextTab,remove_features,k=222 / highest_abundance,0.7521,0.7524,-0.0003,0.9821,False
abundance_t2d,ContextTab,remove_features,k=254 / highest_abundance,0.7521,0.7481,0.004,0.7989,False
abundance_t2d,ContextTab,remove_features,k=286 / highest_abundance,0.7521,0.7504,0.0017,0.9144,False
abundance_t2d,ContextTab,remove_features,k=32 / highest_abundance,0.7521,0.7597,-0.0076,0.4784,False
abundance_t2d,ContextTab,remove_features,k=64 / highest_abundance,0.7521,0.7569,-0.0048,0.693,False
abundance_t2d,ContextTab,remove_features,k=96 / highest_abundance,0.7521,0.7611,-0.009,0.4806,False
abundance_t2d,ContextTab,sparsity,0.856,0.7521,0.7374,0.0146,0.3159,False
abundance_t2d,ContextTab,sparsity,0.883,0.7521,0.7445,0.0076,0.6505,False
abundance_t2d,ContextTab,sparsity,0.91,0.7521,0.7385,0.0136,0.4486,False
abundance_t2d,ContextTab,sparsity,0.937,0.7521,0.7315,0.0206,0.2891,False
abundance_t2d,ContextTab,sparsity,0.963,0.7521,0.723,0.0291,0.1438,False
abundance_t2d,RF,densification,0.147,0.7215,0.6101,0.1114,0.0011,True
abundance_t2d,RF,densification,0.283,0.7215,0.6217,0.0998,0.0009,True
abundance_t2d,RF,densification,0.42,0.7215,0.6677,0.0538,0.0383,True
abundance_t2d,RF,densification,0.556,0.7215,0.6783,0.0432,0.033,True
abundance_t2d,RF,densification,0.693,0.7215,0.7118,0.0097,0.4622,False
abundance_t2d,RF,remove_features,k=1 / highest_abundance,0.7215,0.7169,0.0046,0.7451,False
abundance_t2d,RF,remove_features,k=127 / highest_abundance,0.7215,0.7414,-0.0199,0.2797,False
abundance_t2d,RF,remove_features,k=159 / highest_abundance,0.7215,0.7405,-0.019,0.3145,False
abundance_t2d,RF,remove_features,k=191 / highest_abundance,0.7215,0.7394,-0.0179,0.3359,False
abundance_t2d,RF,remove_features,k=222 / highest_abundance,0.7215,0.7589,-0.0374,0.0437,True
abundance_t2d,RF,remove_features,k=254 / highest_abundance,0.7215,0.7407,-0.0193,0.3265,False
abundance_t2d,RF,remove_features,k=286 / highest_abundance,0.7215,0.7494,-0.0279,0.1329,False
abundance_t2d,RF,remove_features,k=32 / highest_abundance,0.7215,0.7326,-0.0111,0.5014,False
abundance_t2d,RF,remove_features,k=64 / highest_abundance,0.7215,0.7344,-0.013,0.4751,False
abundance_t2d,RF,remove_features,k=96 / highest_abundance,0.7215,0.7556,-0.0341,0.0854,False
abundance_t2d,RF,sparsity,0.856,0.7215,0.7075,0.014,0.347,False
abundance_t2d,RF,sparsity,0.883,0.7215,0.7044,0.0171,0.3384,False
abundance_t2d,RF,sparsity,0.91,0.7215,0.7164,0.0051,0.7908,False
abundance_t2d,RF,sparsity,0.937,0.7215,0.7093,0.0122,0.5432,False
abundance_t2d,RF,sparsity,0.963,0.7215,0.7063,0.0152,0.4524,False
abundance_t2d,TabDPT,densification,0.147,0.6831,0.4853,0.1978,0.0,True
abundance_t2d,TabDPT,densification,0.283,0.6831,0.4805,0.2026,0.0,True
abundance_t2d,TabDPT,densification,0.42,0.6831,0.4979,0.1852,0.0,True
abundance_t2d,TabDPT,densification,0.556,0.6831,0.4958,0.1872,0.0,True
abundance_t2d,TabDPT,densification,0.693,0.6831,0.5372,0.1459,0.0001,True
abundance_t2d,TabDPT,remove_features,k=1 / highest_abundance,0.6865,0.6906,-0.004,0.7383,False
abundance_t2d,TabDPT,remove_features,k=127 / highest_abundance,0.6865,0.6828,0.0037,0.866,False
abundance_t2d,TabDPT,remove_features,k=159 / highest_abundance,0.6865,0.7164,-0.0299,0.1922,False
abundance_t2d,TabDPT,remove_features,k=191 / highest_abundance,0.6865,0.711,-0.0244,0.2753,False
abundance_t2d,TabDPT,remove_features,k=222 / highest_abundance,0.6865,0.7056,-0.0191,0.4104,False
abundance_t2d,TabDPT,remove_features,k=254 / highest_abundance,0.6865,0.7139,-0.0274,0.219,False
abundance_t2d,TabDPT,remove_features,k=286 / highest_abundance,0.6865,0.7094,-0.0228,0.3326,False
abundance_t2d,TabDPT,remove_features,k=32 / highest_abundance,0.6865,0.66,0.0266,0.1136,False
abundance_t2d,TabDPT,remove_features,k=64 / highest_abundance,0.6865,0.6715,0.015,0.432,False
abundance_t2d,TabDPT,remove_features,k=96 / highest_abundance,0.6865,0.6929,-0.0064,0.7717,False
abundance_t2d,TabDPT,sparsity,0.856,0.6831,0.7469,-0.0638,0.0005,True
abundance_t2d,TabDPT,sparsity,0.883,0.6831,0.7381,-0.055,0.0096,True
abundance_t2d,TabDPT,sparsity,0.91,0.6831,0.7714,-0.0884,0.0001,True
abundance_t2d,TabDPT,sparsity,0.937,0.6831,0.7592,-0.0761,0.0016,True
abundance_t2d,TabDPT,sparsity,0.963,0.6831,0.7572,-0.0741,0.0033,True
abundance_t2d,TabICL,densification,0.147,0.7618,0.6433,0.1185,0.0,True
abundance_t2d,TabICL,densification,0.283,0.7618,0.6494,0.1124,0.0,True
abundance_t2d,TabICL,densification,0.42,0.7618,0.6651,0.0967,0.0001,True
abundance_t2d,TabICL,densification,0.556,0.7618,0.6917,0.0701,0.0008,True
abundance_t2d,TabICL,densification,0.693,0.7618,0.7244,0.0374,0.025,True
abundance_t2d,TabICL,remove_features,k=1 / highest_abundance,0.7618,0.7633,-0.0015,0.6916,False
abundance_t2d,TabICL,remove_features,k=127 / highest_abundance,0.7618,0.7615,0.0003,0.9781,False
abundance_t2d,TabICL,remove_features,k=159 / highest_abundance,0.7618,0.7519,0.0099,0.4339,False
abundance_t2d,TabICL,remove_features,k=191 / highest_abundance,0.7618,0.7542,0.0076,0.5646,False
abundance_t2d,TabICL,remove_features,k=222 / highest_abundance,0.7618,0.7574,0.0044,0.753,False
abundance_t2d,TabICL,remove_features,k=254 / highest_abundance,0.7618,0.7516,0.0102,0.4788,False
abundance_t2d,TabICL,remove_features,k=286 / highest_abundance,0.7618,0.7514,0.0104,0.467,False
abundance_t2d,TabICL,remove_features,k=32 / highest_abundance,0.7618,0.7622,-0.0004,0.9544,False
abundance_t2d,TabICL,remove_features,k=64 / highest_abundance,0.7618,0.7682,-0.0064,0.5639,False
abundance_t2d,TabICL,remove_features,k=96 / highest_abundance,0.7618,0.7618,-0.0,0.9976,False
abundance_t2d,TabICL,sparsity,0.856,0.7618,0.7625,-0.0007,0.9453,False
abundance_t2d,TabICL,sparsity,0.883,0.7618,0.7553,0.0065,0.6087,False
abundance_t2d,TabICL,sparsity,0.91,0.7618,0.7522,0.0096,0.5084,False
abundance_t2d,TabICL,sparsity,0.937,0.7618,0.7522,0.0096,0.5507,False
abundance_t2d,TabICL,sparsity,0.963,0.7618,0.7545,0.0073,0.6674,False
abundance_t2d,TabPFN,densification,0.147,0.7324,0.6618,0.0706,0.0074,True
abundance_t2d,TabPFN,densification,0.283,0.7324,0.6749,0.0574,0.0234,True
abundance_t2d,TabPFN,densification,0.42,0.7324,0.6873,0.0451,0.0546,False
abundance_t2d,TabPFN,densification,0.556,0.7324,0.6812,0.0512,0.01,True
abundance_t2d,TabPFN,densification,0.693,0.7324,0.7291,0.0032,0.8395,False
abundance_t2d,TabPFN,remove_features,k=1 / highest_abundance,0.7324,0.7115,0.0209,0.0164,True
abundance_t2d,TabPFN,remove_features,k=127 / highest_abundance,0.7324,0.7172,0.0152,0.3825,False
abundance_t2d,TabPFN,remove_features,k=159 / highest_abundance,0.7324,0.7161,0.0163,0.3629,False
abundance_t2d,TabPFN,remove_features,k=191 / highest_abundance,0.7324,0.7234,0.009,0.6126,False
abundance_t2d,TabPFN,remove_features,k=222 / highest_abundance,0.7324,0.7407,-0.0083,0.6585,False
abundance_t2d,TabPFN,remove_features,k=254 / highest_abundance,0.7324,0.7363,-0.0039,0.832,False
abundance_t2d,TabPFN,remove_features,k=286 / highest_abundance,0.7324,0.7406,-0.0082,0.6632,False
abundance_t2d,TabPFN,remove_features,k=32 / highest_abundance,0.7324,0.7142,0.0182,0.1754,False
abundance_t2d,TabPFN,remove_features,k=64 / highest_abundance,0.7324,0.7011,0.0312,0.0247,True
abundance_t2d,TabPFN,remove_features,k=96 / highest_abundance,0.7324,0.7204,0.012,0.4721,False
abundance_t2d,TabPFN,sparsity,0.856,0.7324,0.7182,0.0142,0.3456,False
abundance_t2d,TabPFN,sparsity,0.883,0.7324,0.7128,0.0196,0.2436,False
abundance_t2d,TabPFN,sparsity,0.91,0.7324,0.7093,0.0231,0.194,False
abundance_t2d,TabPFN,sparsity,0.937,0.7324,0.7097,0.0227,0.2268,False
abundance_t2d,TabPFN,sparsity,0.963,0.7324,0.7084,0.024,0.2205,False
abundance_t2d,XGBoost,densification,0.147,0.6928,0.6105,0.0823,0.0023,True
abundance_t2d,XGBoost,densification,0.283,0.6928,0.6411,0.0517,0.0288,True
abundance_t2d,XGBoost,densification,0.42,0.6928,0.6431,0.0497,0.0197,True
abundance_t2d,XGBoost,densification,0.556,0.6928,0.6646,0.0282,0.1133,False
abundance_t2d,XGBoost,densification,0.693,0.6928,0.6785,0.0143,0.268,False
abundance_t2d,XGBoost,remove_features,k=1 / highest_abundance,0.6928,0.6865,0.0063,0.6423,False
abundance_t2d,XGBoost,remove_features,k=127 / highest_abundance,0.6928,0.7045,-0.0117,0.6231,False
abundance_t2d,XGBoost,remove_features,k=159 / highest_abundance,0.6928,0.7017,-0.0089,0.7106,False
abundance_t2d,XGBoost,remove_features,k=191 / highest_abundance,0.6928,0.6891,0.0037,0.882,False
abundance_t2d,XGBoost,remove_features,k=222 / highest_abundance,0.6928,0.703,-0.0102,0.674,False
abundance_t2d,XGBoost,remove_features,k=254 / highest_abundance,0.6928,0.6972,-0.0044,0.867,False
abundance_t2d,XGBoost,remove_features,k=286 / highest_abundance,0.6928,0.6889,0.0039,0.8815,False
abundance_t2d,XGBoost,remove_features,k=32 / highest_abundance,0.6928,0.6897,0.0031,0.8729,False
abundance_t2d,XGBoost,remove_features,k=64 / highest_abundance,0.6928,0.6986,-0.0058,0.7922,False
abundance_t2d,XGBoost,remove_features,k=96 / highest_abundance,0.6928,0.6833,0.0095,0.6794,False
abundance_t2d,XGBoost,sparsity,0.856,0.6928,0.6794,0.0134,0.4893,False
abundance_t2d,XGBoost,sparsity,0.883,0.6928,0.6778,0.015,0.4822,False
abundance_t2d,XGBoost,sparsity,0.91,0.6928,0.6584,0.0344,0.152,False
abundance_t2d,XGBoost,sparsity,0.937,0.6928,0.6591,0.0337,0.1789,False
abundance_t2d,XGBoost,sparsity,0.963,0.6928,0.6659,0.0269,0.2801,False
